Home Team,Away Team,Home Win %,Away Win %,Tie %
Toronto Maple Leafs,Montreal Canadiens,53,31,16
Toronto Maple Leafs,Edmonton Oilers,44,41,15
Toronto Maple Leafs,Calgary Flames,48,36,17
Toronto Maple Leafs,Boston Bruins,42,41,17
Toronto Maple Leafs,New York Rangers,43,42,16
Toronto Maple Leafs,Chicago Blackhawks,56,29,15
Toronto Maple Leafs,Colorado Avalanche,41,43,15
Toronto Maple Leafs,Vegas Golden Knights,45,39,16
Toronto Maple Leafs,Tampa Bay Lightning,46,39,15
Montreal Canadiens,Toronto Maple Leafs,31,55,15
Montreal Canadiens,Edmonton Oilers,32,52,16
Montreal Canadiens,Calgary Flames,36,48,16
Montreal Canadiens,Boston Bruins,30,54,16
Montreal Canadiens,New York Rangers,30,54,16
Montreal Canadiens,Chicago Blackhawks,45,39,16
Montreal Canadiens,Colorado Avalanche,31,53,15
Montreal Canadiens,Vegas Golden Knights,33,51,16
Montreal Canadiens,Tampa Bay Lightning,34,50,16
Edmonton Oilers,Toronto Maple Leafs,40,44,16
Edmonton Oilers,Montreal Canadiens,52,32,16
Edmonton Oilers,Calgary Flames,46,38,16
Edmonton Oilers,Boston Bruins,41,43,16
Edmonton Oilers,New York Rangers,40,44,16
Edmonton Oilers,Chicago Blackhawks,55,30,15
Edmonton Oilers,Colorado Avalanche,41,43,16
Edmonton Oilers,Vegas Golden Knights,43,40,17
Edmonton Oilers,Tampa Bay Lightning,44,40,16
Calgary Flames,Toronto Maple Leafs,36,48,16
Calgary Flames,Montreal Canadiens,48,36,16
Calgary Flames,Edmonton Oilers,38,47,16
Calgary Flames,Boston Bruins,36,47,17
Calgary Flames,New York Rangers,36,48,17
Calgary Flames,Chicago Blackhawks,51,33,16
Calgary Flames,Colorado Avalanche,38,47,15
Calgary Flames,Vegas Golden Knights,38,45,17
Calgary Flames,Tampa Bay Lightning,40,44,16
Boston Bruins,Toronto Maple Leafs,41,43,16
Boston Bruins,Montreal Canadiens,53,30,16
Boston Bruins,Edmonton Oilers,42,42,16
Boston Bruins,Calgary Flames,47,36,17
Boston Bruins,New York Rangers,42,41,17
Boston Bruins,Chicago Blackhawks,56,28,16
Boston Bruins,Colorado Avalanche,42,42,17
Boston Bruins,Vegas Golden Knights,45,39,16
Boston Bruins,Tampa Bay Lightning,46,38,16
New York Rangers,Toronto Maple Leafs,42,42,15
New York Rangers,Montreal Canadiens,54,31,15
New York Rangers,Edmonton Oilers,43,40,16
New York Rangers,Calgary Flames,48,35,17
New York Rangers,Boston Bruins,42,42,17
New York Rangers,Chicago Blackhawks,56,28,16
New York Rangers,Colorado Avalanche,41,43,16
New York Rangers,Vegas Golden Knights,44,40,16
New York Rangers,Tampa Bay Lightning,46,37,17
Chicago Blackhawks,Toronto Maple Leafs,29,56,15
Chicago Blackhawks,Montreal Canadiens,40,43,17
Chicago Blackhawks,Edmonton Oilers,31,54,15
Chicago Blackhawks,Calgary Flames,33,50,16
Chicago Blackhawks,Boston Bruins,29,56,16
Chicago Blackhawks,New York Rangers,29,56,15
Chicago Blackhawks,Colorado Avalanche,29,56,15
Chicago Blackhawks,Vegas Golden Knights,31,53,16
Chicago Blackhawks,Tampa Bay Lightning,33,52,15
Colorado Avalanche,Toronto Maple Leafs,42,42,16
Colorado Avalanche,Montreal Canadiens,54,31,15
Colorado Avalanche,Edmonton Oilers,44,41,15
Colorado Avalanche,Calgary Flames,48,36,16
Colorado Avalanche,Boston Bruins,41,42,17
Colorado Avalanche,New York Rangers,42,42,16
Colorado Avalanche,Chicago Blackhawks,55,29,16
Colorado Avalanche,Vegas Golden Knights,45,39,16
Colorado Avalanche,Tampa Bay Lightning,46,39,16
Vegas Golden Knights,Toronto Maple Leafs,39,44,17
Vegas Golden Knights,Montreal Canadiens,52,32,16
Vegas Golden Knights,Edmonton Oilers,42,43,16
Vegas Golden Knights,Calgary Flames,45,39,16
Vegas Golden Knights,Boston Bruins,39,45,17
Vegas Golden Knights,New York Rangers,39,45,16
Vegas Golden Knights,Chicago Blackhawks,54,31,16
Vegas Golden Knights,Colorado Avalanche,39,45,16
Vegas Golden Knights,Tampa Bay Lightning,42,41,16
Tampa Bay Lightning,Toronto Maple Leafs,38,47,15
Tampa Bay Lightning,Montreal Canadiens,50,35,16
Tampa Bay Lightning,Edmonton Oilers,40,44,15
Tampa Bay Lightning,Calgary Flames,45,39,16
Tampa Bay Lightning,Boston Bruins,39,45,16
Tampa Bay Lightning,New York Rangers,39,45,16
Tampa Bay Lightning,Chicago Blackhawks,51,33,16
Tampa Bay Lightning,Colorado Avalanche,39,45,16
Tampa Bay Lightning,Vegas Golden Knights,41,43,15
