Team,PP%,PK%
Winnipeg Jets,28.9,79.4
Washington Capitals,23.53,82.01
Vegas Golden Knights,28.34,75.74
Toronto Maple Leafs,24.77,77.87
Dallas Stars,22,82.02
Los Angeles Kings,17.87,81.43
Tampa Bay Lightning,25.86,81.55
Colorado Avalanche,24.79,79.81
Edmonton Oilers,23.72,78.16
Carolina Hurricanes,18.7,83.61
Florida Panthers,23.53,80.74
Minnesota Wild,20.87,72.41
Ottawa Senators,23.79,77.73
Calgary Flames,21.03,76.11
St. Louis Blues,22.05,74.35
Montreal Canadiens,20.09,80.93
New Jersey Devils,28.24,82.67
Vancouver Canucks,22.52,82.59
Columbus Blue Jackets,19.46,76.96
Utah Hockey Club,24.15,79.28
Detroit Red Wings,27,70.11
New York Rangers,17.62,80.33
New York Islanders,12.56,72.22
Pittsburgh Penguins,25.79,77.78
Anaheim Ducks,11.76,74.19
Buffalo Sabres,18.78,76.35
Boston Bruins,15.22,76.27
Seattle Kraken,18.94,77.2
Philadelphia Flyers,14.95,77.61
Nashville Predators,21.83,81.48
Chicago Blackhawks,24.87,79.3
San Jose Sharks,18.58,74.22
League Average,21.64,78.36
